id,firstName,lastName,birthDate,email,planet_id,department_id,position_id,stardustCollected,wormholeNavigationSkill,spacesuitColor,active
01M0G8JD40017H4K2QWMXYZSAB,Zoltán,Nagy,1978-03-12,spacefarer01@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD29QC5EBEC8X70WYN2G,01M0G8JD3EXPTR7H4K2QWMXYZS,85.00,28,Blue,true
01M0G8JD40027H4K2QWMXYZSAB,Gábor,Kovács,1982-07-05,spacefarer02@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD29QC5EBEC8X70WYN2G,01M0G8JD3EXPJR7H4K2QWMXYZS,260.00,45,Red,true
01M0G8JD40037H4K2QWMXYZSAB,István,Tóth,1975-11-20,spacefarer03@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD29QC5EBEC8X70WYN2G,01M0G8JD3EXPMD7H4K2QWMXYZS,520.00,62,Green,true
01M0G8JD40047H4K2QWMXYZSAB,László,Szabó,1970-01-15,spacefarer04@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD29QC5EBEC8X70WYN2G,01M0G8JD2A2NSGEHYYZR1GT6BW,950.00,88,Yellow,true
01M0G8JD40057H4K2QWMXYZSAB,Péter,Horváth,1965-09-02,spacefarer05@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD29QC5EBEC8X70WYN2G,01M0G8JD3EXPRT7H4K2QWMXYZS,1600.00,70,Orange,false
01M0G8JD40067H4K2QWMXYZSAB,Tamás,Varga,1990-04-18,spacefarer06@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD2AQB3R6MX4254PDZW4,01M0G8JD3NAVTR7H4K2QWMXYZS,110.00,33,Purple,true
01M0G8JD40077H4K2QWMXYZSAB,András,Kiss,1985-06-25,spacefarer07@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD2AQB3R6MX4254PDZW4,01M0G8JD3NAVJR7H4K2QWMXYZS,310.00,50,White,true
01M0G8JD40087H4K2QWMXYZSAB,Béla,Molnár,1980-02-09,spacefarer08@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD2AQB3R6MX4254PDZW4,01M0G8JD3NAVMD7H4K2QWMXYZS,610.00,68,Black,true
01M0G8JD40097H4K2QWMXYZSAB,Csaba,Németh,1972-12-30,spacefarer09@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD2AQB3R6MX4254PDZW4,01M0G8JD2AVTZFDTPM97EY2RTB,1100.00,91,Silver,true
01M0G8JD40107H4K2QWMXYZSAB,Dénes,Farkas,1968-08-14,spacefarer10@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD2AQB3R6MX4254PDZW4,01M0G8JD3NAVRT7H4K2QWMXYZS,1850.00,75,Cyan,false
